"Bezeichnung"	"Zeitraum"	"01.01."	"02.01."	"03.01."	"04.01."	"05.01."	"06.01."	"07.01."	"08.01."	"09.01."	"10.01."	"11.01."	"12.01."	"13.01."	"14.01."	"15.01."	"16.01."	"17.01."	"18.01."	"19.01."	"20.01."	"21.01."	"22.01."	"23.01."	"24.01."	"25.01."	"26.01."	"27.01."	"28.01."	"29.01."	"30.01."	"31.01."	"01.02."	"02.02."	"03.02."	"04.02."	"05.02."	"06.02."	"07.02."	"08.02."	"09.02."	"10.02."	"11.02."	"12.02."	"13.02."	"14.02."	"15.02."	"16.02."	"17.02."	"18.02."	"19.02."	"20.02."	"21.02."	"22.02."	"23.02."	"24.02."	"25.02."	"26.02."	"27.02."	"28.02."	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."	"01.04."	"02.04."	"03.04."	"04.04."	"05.04."	"06.04."	"07.04."	"08.04."	"09.04."	"10.04."	"11.04."	"12.04."	"13.04."	"14.04."	"15.04."	"16.04."	"17.04."	"18.04."	"19.04."	"20.04."	"21.04."	"22.04."	"23.04."	"24.04."	"25.04."	"26.04."	"27.04."	"28.04."	"29.04."	"30.04."	"01.05."	"02.05."	"03.05."	"04.05."	"05.05."	"06.05."	"07.05."	"08.05."	"09.05."	"10.05."	"11.05."	"12.05."	"13.05."	"14.05."	"15.05."	"16.05."	"17.05."	"18.05."	"19.05."	"20.05."	"21.05."	"22.05."	"23.05."	"24.05."	"25.05."	"26.05."	"27.05."	"28.05."	"29.05."	"30.05."	"31.05."	"01.06."	"02.06."	"03.06."	"04.06."	"05.06."	"06.06."	"07.06."	"08.06."	"09.06."	"10.06."	"11.06."	"12.06."	"13.06."	"14.06."	"15.06."	"16.06."	"17.06."	"18.06."	"19.06."	"20.06."	"21.06."	"22.06."	"23.06."	"24.06."	"25.06."	"26.06."	"27.06."	"28.06."	"29.06."	"30.06."	"01.07."	"02.07."	"03.07."	"04.07."	"05.07."	"06.07."	"07.07."	"08.07."	"09.07."	"10.07."	"11.07."	"12.07."	"13.07."	"14.07."	"15.07."	"16.07."	"17.07."	"18.07."	"19.07."	"20.07."	"21.07."	"22.07."	"23.07."	"24.07."	"25.07."	"26.07."	"27.07."	"28.07."	"29.07."	"30.07."	"31.07."	"01.08."	"02.08."	"03.08."	"04.08."	"05.08."	"06.08."	"07.08."	"08.08."	"09.08."	"10.08."	"11.08."	"12.08."	"13.08."	"14.08."	"15.08."	"16.08."	"17.08."	"18.08."	"19.08."	"20.08."	"21.08."	"22.08."	"23.08."	"24.08."	"25.08."	"26.08."	"27.08."	"28.08."	"29.08."	"30.08."	"31.08."	"01.09."	"02.09."	"03.09."	"04.09."	"05.09."	"06.09."	"07.09."	"08.09."	"09.09."	"10.09."	"11.09."	"12.09."	"13.09."	"14.09."	"15.09."	"16.09."	"17.09."	"18.09."	"19.09."	"20.09."	"21.09."	"22.09."	"23.09."	"24.09."	"25.09."	"26.09."	"27.09."	"28.09."	"29.09."	"30.09."	"01.10."	"02.10."	"03.10."	"04.10."	"05.10."	"06.10."	"07.10."	"08.10."	"09.10."	"10.10."	"11.10."	"12.10."	"13.10."	"14.10."	"15.10."	"16.10."	"17.10."	"18.10."	"19.10."	"20.10."	"21.10."	"22.10."	"23.10."	"24.10."	"25.10."	"26.10."	"27.10."	"28.10."	"29.10."	"30.10."	"31.10."	"01.11."	"02.11."	"03.11."	"04.11."	"05.11."	"06.11."	"07.11."	"08.11."	"09.11."	"10.11."	"11.11."	"12.11."	"13.11."	"14.11."	"15.11."	"16.11."	"17.11."	"18.11."	"19.11."	"20.11."	"21.11."	"22.11."	"23.11."	"24.11."	"25.11."	"26.11."	"27.11."	"28.11."	"29.11."	"30.11."	"01.12."	"02.12."	"03.12."	"04.12."	"05.12."	"06.12."	"07.12."	"08.12."	"09.12."	"10.12."	"11.12."	"12.12."	"13.12."	"14.12."	"15.12."	"16.12."	"17.12."	"18.12."	"19.12."	"20.12."	"21.12."	"22.12."	"23.12."	"24.12."	"25.12."	"26.12."	"27.12."	"28.12."	"29.12."	"30.12."	"31.12."
"Gesamt"	"CHF 3475331,55"	"CHF 96,70"	"CHF 7672,75"	"CHF 8441,60"	"CHF 10321,60"	"CHF 2728,65"	"CHF 2376,50"	"CHF 3191,40"	"CHF 3068,05"	"CHF 5522,60"	"CHF 10084,30"	"CHF 11672,20"	"CHF 4747,30"	"CHF 3968,30"	"CHF 7615,90"	"CHF 5223,30"	"CHF 5604,10"	"CHF 6321,90"	"CHF 13857,30"	"CHF 3660,20"	"CHF 3272,30"	"CHF 4839,70"	"CHF 4088,50"	"CHF 7548,80"	"CHF 26350,20"	"CHF 21733,20"	"CHF 7767,00"	"CHF 3545,00"	"CHF 5532,30"	"CHF 5744,40"	"CHF 20041,40"	"CHF 11676,30"	"CHF 12596,30"	"CHF 5297,60"	"CHF 4494,00"	"CHF 5893,20"	"CHF 6061,10"	"CHF 4960,10"	"CHF 11139,80"	"CHF 12787,00"	"CHF 5283,90"	"CHF 3053,00"	"CHF 2943,50"	"CHF 6541,70"	"CHF 7961,40"	"CHF 15456,10"	"CHF 13741,30"	"CHF 4354,00"	"CHF 4267,80"	"CHF 5395,40"	"CHF 6285,45"	"CHF 6085,90"	"CHF 12910,60"	"CHF 13456,80"	"CHF 5661,30"	"CHF 5742,30"	"CHF 4796,00"	"CHF 6285,00"	"CHF 11583,10"	"CHF 13238,80"	"CHF 13707,30"	"CHF 5573,60"	"CHF 5985,60"	"CHF 4710,20"	"CHF 6602,40"	"CHF 7804,30"	"CHF 10130,90"	"CHF 12966,60"	"CHF 7170,20"	"CHF 3236,70"	"CHF 8254,30"	"CHF 8573,30"	"CHF 8964,80"	"CHF 12571,40"	"CHF 11550,80"	"CHF 4656,40"	"CHF 5200,80"	"CHF 4671,25"	"CHF 7433,70"	"CHF 10696,80"	"CHF 9268,60"	"CHF 16475,90"	"CHF 5313,80"	"CHF 4230,85"	"CHF 7094,60"	"CHF 5350,90"	"CHF 7954,10"	"CHF 14076,60"	"CHF 11609,85"	"CHF 5854,00"	"CHF 5665,90"	"CHF 5435,70"	"CHF 6186,50"	"CHF 6687,70"	"CHF 14682,40"	"CHF 12579,40"	"CHF 5851,60"	"CHF 4208,60"	"CHF 5763,30"	"CHF 6345,00"	"CHF 11461,20"	"CHF 9885,70"	"CHF 7380,30"	"CHF 4712,30"	"CHF 3800,90"	"CHF 5334,50"	"CHF 6725,70"	"CHF 7748,30"	"CHF 7383,90"	"CHF 9503,20"	"CHF 5028,00"	"CHF 3935,40"	"CHF 5029,80"	"CHF 5322,80"	"CHF 7190,65"	"CHF 9552,30"	"CHF 14147,80"	"CHF 5247,80"	"CHF 5508,00"	"CHF 5923,60"	"CHF 7381,00"	"CHF 10075,00"	"CHF 10231,75"	"CHF 12350,50"	"CHF 6316,80"	"CHF 3665,30"	"CHF 5524,90"	"CHF 5556,70"	"CHF 12317,15"	"CHF 12083,20"	"CHF 22192,70"	"CHF 10592,35"	"CHF 5083,90"	"CHF 5950,25"	"CHF 8303,70"	"CHF 6719,25"	"CHF 8307,10"	"CHF 14643,85"	"CHF 4116,65"	"CHF 3503,40"	"CHF 5331,70"	"CHF 23587,40"	"CHF 7050,90"	"CHF 11701,80"	"CHF 30156,00"	"CHF 4482,70"	"CHF 4910,40"	"CHF 6522,50"	"CHF 5996,80"	"CHF 8968,00"	"CHF 10981,30"	"CHF 8794,30"	"CHF 9274,00"	"CHF 5004,00"	"CHF 5176,20"	"CHF 4824,40"	"CHF 7262,50"	"CHF 8078,10"	"CHF 9898,50"	"CHF 7348,60"	"CHF 5030,70"	"CHF 11523,60"	"CHF 8512,40"	"CHF 8285,90"	"CHF 10877,20"	"CHF 10044,50"	"CHF 10918,70"	"CHF 4037,90"	"CHF 6726,90"	"CHF 7545,00"	"CHF 10810,55"	"CHF 12508,30"	"CHF 12196,20"	"CHF 6081,90"	"CHF 3331,10"	"CHF 9721,60"	"CHF 5521,10"	"CHF 7217,55"	"CHF 13462,20"	"CHF 9541,90"	"CHF 5311,00"	"CHF 6045,90"	"CHF 8185,70"	"CHF 11525,80"	"CHF 13581,60"	"CHF 12616,90"	"CHF 15649,60"	"CHF 12363,90"	"CHF 7080,30"	"CHF 8756,80"	"CHF 7719,00"	"CHF 14648,10"	"CHF 14761,55"	"CHF 14231,80"	"CHF 11434,30"	"CHF 6633,70"	"CHF 10022,80"	"CHF 6308,60"	"CHF 8726,90"	"CHF 19483,50"	"CHF 11418,95"	"CHF 7452,00"	"CHF 5558,10"	"CHF 9291,55"	"CHF 10113,40"	"CHF 9153,60"	"CHF 10256,30"	"CHF 11308,30"	"CHF 8014,40"	"CHF 5829,10"	"CHF 8141,90"	"CHF 9105,95"	"CHF 8173,50"	"CHF 8749,20"	"CHF 8890,30"	"CHF 6134,75"	"CHF 6936,70"	"CHF 7215,50"	"CHF 5754,90"	"CHF 6256,90"	"CHF 5920,10"	"CHF 7523,30"	"CHF 6451,50"	"CHF 5488,70"	"CHF 7015,50"	"CHF 5496,30"	"CHF 6036,50"	"CHF 10481,80"	"CHF 10556,20"	"CHF 7586,80"	"CHF 5371,20"	"CHF 6572,20"	"CHF 5569,80"	"CHF 6234,00"	"CHF 10794,60"	"CHF 15077,70"	"CHF 6153,10"	"CHF 3638,60"	"CHF 8295,60"	"CHF 9457,20"	"CHF 10696,50"	"CHF 12638,80"	"CHF 11699,60"	"CHF 6505,00"	"CHF 3805,60"	"CHF 7671,20"	"CHF 8691,20"	"CHF 6764,70"	"CHF 8276,30"	"CHF 15139,20"	"CHF 8056,90"	"CHF 8435,30"	"CHF 7733,90"	"CHF 6910,40"	"CHF 8481,40"	"CHF 13540,00"	"CHF 13374,90"	"CHF 8183,60"	"CHF 5341,90"	"CHF 6527,90"	"CHF 7140,60"	"CHF 10439,90"	"CHF 13288,80"	"CHF 11963,80"	"CHF 7363,30"	"CHF 5756,70"	"CHF 5338,40"	"CHF 11404,70"	"CHF 7829,10"	"CHF 9553,65"	"CHF 16910,30"	"CHF 6206,90"	"CHF 4945,80"	"CHF 5702,30"	"CHF 6103,10"	"CHF 8149,80"	"CHF 8175,80"	"CHF 12329,90"	"CHF 5631,90"	"CHF 5879,70"	"CHF 9500,80"	"CHF 8956,60"	"CHF 7987,60"	"CHF 13155,60"	"CHF 11454,70"	"CHF 6242,30"	"CHF 3438,40"	"CHF 8124,80"	"CHF 7710,70"	"CHF 10977,20"	"CHF 15999,50"	"CHF 17276,00"	"CHF 6966,20"	"CHF 7807,10"	"CHF 6235,70"	"CHF 9253,30"	"CHF 16654,40"	"CHF 17843,95"	"CHF 19026,00"	"CHF 13383,10"	"CHF 7087,90"	"CHF 9423,60"	"CHF 16081,40"	"CHF 12714,90"	"CHF 16163,40"	"CHF 18728,40"	"CHF 8473,80"	"CHF 6488,90"	"CHF 13639,20"	"CHF 10638,50"	"CHF 13730,90"	"CHF 19228,25"	"CHF 21128,90"	"CHF 9710,70"	"CHF 6783,90"	"CHF 14844,25"	"CHF 12893,50"	"CHF 17090,60"	"CHF 20732,80"	"CHF 21904,90"	"CHF 12008,60"	"CHF 7098,00"	"CHF 8971,90"	"CHF 10051,60"	"CHF 21076,60"	"CHF 19855,00"	"CHF 23187,70"	"CHF 13485,30"	"CHF 27791,40"	"CHF 13883,90"	"CHF 7550,40"	"CHF 11844,70"	"CHF 20982,05"	"CHF 19879,40"	"CHF 8653,75"	"CHF 5850,30"	"CHF 11001,00"	"CHF 9926,00"	"CHF 17215,30"	"CHF 24091,10"	"CHF 17209,10"	"CHF 10974,00"	"CHF 9462,50"	"CHF 15408,80"	"CHF 11839,00"	"CHF 23199,00"	"CHF 22257,90"	"CHF 25415,50"	"CHF 9723,40"	"CHF 8018,40"	"CHF 10815,50"	"CHF 10080,40"	"CHF 18418,70"	"CHF 17661,90"	"CHF 21275,40"	"CHF 11077,40"	"CHF 11297,40"	"CHF 10107,40"	"CHF 8282,50"	"CHF 7505,20"	"CHF 10305,70"	"CHF 8868,30"	"CHF 9376,90"	"CHF 11611,05"	"CHF 11849,30"	"CHF 23586,00"
"Food (Speisen)"	"CHF 2304595,95"	"CHF 325,00"	"CHF 5390,00"	"CHF 6346,00"	"CHF 7044,00"	"CHF 1859,00"	"CHF 2051,00"	"CHF 2334,00"	"CHF 2150,00"	"CHF 3942,00"	"CHF 7167,50"	"CHF 7762,50"	"CHF 3487,50"	"CHF 2817,00"	"CHF 5158,00"	"CHF 3818,50"	"CHF 4008,00"	"CHF 4171,00"	"CHF 6395,00"	"CHF 2850,00"	"CHF 2374,50"	"CHF 3604,00"	"CHF 2838,00"	"CHF 5848,00"	"CHF 13170,00"	"CHF 10283,50"	"CHF 5936,00"	"CHF 2743,00"	"CHF 4189,00"	"CHF 3935,50"	"CHF 14371,00"	"CHF 7670,00"	"CHF 8641,00"	"CHF 4564,50"	"CHF 3755,00"	"CHF 4285,00"	"CHF 4332,00"	"CHF 3627,00"	"CHF 6398,00"	"CHF 8703,50"	"CHF 4381,50"	"CHF 2672,00"	"CHF 2304,00"	"CHF 4636,50"	"CHF 5437,00"	"CHF 9869,50"	"CHF 9095,00"	"CHF 3139,50"	"CHF 3358,00"	"CHF 3868,00"	"CHF 4530,55"	"CHF 4502,00"	"CHF 8565,50"	"CHF 8776,00"	"CHF 4257,50"	"CHF 3901,00"	"CHF 3738,00"	"CHF 4672,00"	"CHF 8207,00"	"CHF 9192,00"	"CHF 8831,00"	"CHF 4107,00"	"CHF 4596,50"	"CHF 3438,00"	"CHF 4817,50"	"CHF 5265,00"	"CHF 7119,00"	"CHF 9023,00"	"CHF 5164,50"	"CHF 2377,00"	"CHF 5975,50"	"CHF 6186,50"	"CHF 6494,50"	"CHF 8056,00"	"CHF 8205,00"	"CHF 3463,00"	"CHF 3794,00"	"CHF 3369,50"	"CHF 5141,00"	"CHF 7220,00"	"CHF 6546,50"	"CHF 10806,00"	"CHF 3977,00"	"CHF 3162,50"	"CHF 5442,00"	"CHF 3868,00"	"CHF 5421,50"	"CHF 8864,50"	"CHF 7694,00"	"CHF 5503,00"	"CHF 4349,50"	"CHF 3964,50"	"CHF 4204,50"	"CHF 4328,50"	"CHF 9187,50"	"CHF 7181,50"	"CHF 3954,00"	"CHF 3027,50"	"CHF 3829,00"	"CHF 4256,50"	"CHF 6033,00"	"CHF 5853,50"	"CHF 4853,00"	"CHF 3078,00"	"CHF 2412,00"	"CHF 3571,00"	"CHF 4502,00"	"CHF 5522,00"	"CHF 4971,00"	"CHF 5857,50"	"CHF 3699,00"	"CHF 2793,00"	"CHF 3624,50"	"CHF 3651,50"	"CHF 5070,50"	"CHF 5962,50"	"CHF 8739,00"	"CHF 3832,00"	"CHF 3928,00"	"CHF 4233,00"	"CHF 5268,50"	"CHF 6432,50"	"CHF 7146,00"	"CHF 7396,00"	"CHF 4593,00"	"CHF 2665,00"	"CHF 4301,00"	"CHF 4364,00"	"CHF 7810,00"	"CHF 8154,50"	"CHF 13193,50"	"CHF 8285,50"	"CHF 3816,50"	"CHF 4318,00"	"CHF 5545,50"	"CHF 4472,50"	"CHF 5640,00"	"CHF 8992,00"	"CHF 2944,00"	"CHF 2515,00"	"CHF 3903,00"	"CHF 4446,00"	"CHF 4947,50"	"CHF 7445,50"	"CHF 9879,00"	"CHF 3179,50"	"CHF 3506,00"	"CHF 4168,50"	"CHF 4159,00"	"CHF 6204,50"	"CHF 7837,00"	"CHF 5834,50"	"CHF 3694,00"	"CHF 3686,00"	"CHF 3850,00"	"CHF 3178,00"	"CHF 5162,00"	"CHF 5476,00"	"CHF 6790,00"	"CHF 5607,50"	"CHF 3723,00"	"CHF 6439,00"	"CHF 6008,00"	"CHF 5748,00"	"CHF 7142,50"	"CHF 7174,00"	"CHF 7387,50"	"CHF 2996,00"	"CHF 4809,00"	"CHF 5191,00"	"CHF 7453,50"	"CHF 8348,00"	"CHF 8156,00"	"CHF 4230,00"	"CHF 1960,00"	"CHF 6797,00"	"CHF 3565,00"	"CHF 4976,50"	"CHF 8830,00"	"CHF 6655,50"	"CHF 4616,00"	"CHF 4447,00"	"CHF 5356,50"	"CHF 5911,50"	"CHF 8121,50"	"CHF 6716,00"	"CHF 8309,50"	"CHF 8625,00"	"CHF 4490,00"	"CHF 5458,00"	"CHF 4379,50"	"CHF 7192,50"	"CHF 7845,40"	"CHF 7170,00"	"CHF 6669,50"	"CHF 4212,50"	"CHF 6584,50"	"CHF 4017,50"	"CHF 4985,00"	"CHF 8281,00"	"CHF 6847,50"	"CHF 4945,00"	"CHF 3690,00"	"CHF 5232,00"	"CHF 5943,00"	"CHF 6143,00"	"CHF 6743,50"	"CHF 6815,00"	"CHF 4472,00"	"CHF 4089,00"	"CHF 5703,00"	"CHF 6367,00"	"CHF 5925,00"	"CHF 6152,50"	"CHF 6005,50"	"CHF 4417,50"	"CHF 5214,50"	"CHF 4922,50"	"CHF 3864,00"	"CHF 4199,00"	"CHF 3953,00"	"CHF 5603,00"	"CHF 4746,00"	"CHF 3681,50"	"CHF 5092,50"	"CHF 3953,50"	"CHF 4233,50"	"CHF 7434,50"	"CHF 7167,50"	"CHF 6460,00"	"CHF 3935,00"	"CHF 4819,50"	"CHF 3902,50"	"CHF 4381,00"	"CHF 7575,00"	"CHF 10501,50"	"CHF 4513,50"	"CHF 2534,00"	"CHF 6038,00"	"CHF 6293,00"	"CHF 7746,00"	"CHF 7443,50"	"CHF 7559,00"	"CHF 5148,00"	"CHF 2845,00"	"CHF 5168,00"	"CHF 6015,00"	"CHF 4745,00"	"CHF 5636,00"	"CHF 9699,00"	"CHF 5529,50"	"CHF 5954,50"	"CHF 5716,50"	"CHF 4920,50"	"CHF 6071,00"	"CHF 9362,00"	"CHF 8162,00"	"CHF 5663,50"	"CHF 4049,00"	"CHF 4227,50"	"CHF 5007,00"	"CHF 6721,00"	"CHF 8672,50"	"CHF 7932,50"	"CHF 5095,50"	"CHF 4058,50"	"CHF 3469,50"	"CHF 6190,90"	"CHF 5109,00"	"CHF 6602,50"	"CHF 10980,00"	"CHF 4335,50"	"CHF 3509,50"	"CHF 4119,00"	"CHF 4315,00"	"CHF 5767,00"	"CHF 5411,00"	"CHF 8410,50"	"CHF 4195,00"	"CHF 4126,50"	"CHF 6577,00"	"CHF 6204,50"	"CHF 5559,00"	"CHF 8624,50"	"CHF 7495,50"	"CHF 4722,50"	"CHF 2388,50"	"CHF 5563,00"	"CHF 5463,00"	"CHF 8070,50"	"CHF 11012,50"	"CHF 11765,00"	"CHF 4895,50"	"CHF 5691,40"	"CHF 4323,50"	"CHF 6690,00"	"CHF 10689,30"	"CHF 11945,00"	"CHF 12310,00"	"CHF 10646,50"	"CHF 4964,50"	"CHF 6486,50"	"CHF 10511,90"	"CHF 8349,00"	"CHF 10749,50"	"CHF 12863,00"	"CHF 6113,00"	"CHF 4919,50"	"CHF 9916,00"	"CHF 7286,50"	"CHF 9979,50"	"CHF 12368,50"	"CHF 13640,00"	"CHF 6903,00"	"CHF 4988,00"	"CHF 10673,00"	"CHF 9209,50"	"CHF 11948,50"	"CHF 13688,00"	"CHF 14155,00"	"CHF 9270,50"	"CHF 4997,00"	"CHF 6389,50"	"CHF 7609,00"	"CHF 14808,50"	"CHF 13339,00"	"CHF 15685,00"	"CHF 9553,00"	"CHF 6475,00"	"CHF 7870,50"	"CHF 5135,00"	"CHF 8400,00"	"CHF 14269,00"	"CHF 13775,50"	"CHF 6175,00"	"CHF 3965,50"	"CHF 7206,00"	"CHF 6748,00"	"CHF 11003,50"	"CHF 15431,00"	"CHF 12397,00"	"CHF 7841,50"	"CHF 7086,50"	"CHF 10654,50"	"CHF 8361,50"	"CHF 15162,00"	"CHF 10592,50"	"CHF 16750,00"	"CHF 6938,00"	"CHF 5502,00"	"CHF 7342,00"	"CHF 7670,50"	"CHF 12302,50"	"CHF 11821,00"	"CHF 12943,50"	"CHF 7569,50"	"CHF 8533,50"	"CHF 7169,50"	"CHF 5769,50"	"CHF 4822,00"	"CHF 7153,50"	"CHF 6213,50"	"CHF 6042,00"	"CHF 8219,50"	"CHF 8308,50"	"CHF 17149,50"
