"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Wasser ohne 0,5"	"CHF 21,00"	""	""	""	""	""	""	"CHF 3,50"	"CHF 3,50"	""	""	""	""	"CHF 3,50"	""	""	""	""	"CHF 3,50"	"CHF 3,50"	"CHF 3,50"	""	""	""	""	""	""	""	""	""	""	""
"Mixer Cola"	"CHF 21,00"	""	""	""	""	""	"CHF 3,00"	"CHF 12,00"	""	""	""	""	""	""	"CHF 3,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 3,00"	""	""	""
"Saft"	"CHF 21,00"	""	""	""	""	""	"CHF 3,00"	"CHF 3,00"	""	""	"CHF 3,00"	"CHF 3,00"	""	""	""	"CHF 3,00"	""	""	""	""	""	""	""	"CHF 3,00"	""	""	"CHF 3,00"	""	""	""	""	""
"Malibu Monsoon"	"CHF 21,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 21,00"	""	""	""	""	""	""	""	""	""	""
"Four Roses 4cl"	"CHF 20,00"	""	""	""	""	""	""	"CHF 20,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"New Yorker"	"CHF 19,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 19,00"	""	""	""
"Glenfiddich 15y 4cl"	"CHF 18,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 18,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Apple Martini"	"CHF 18,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 18,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Mai Tai"	"CHF 18,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 18,00"	""	""	""	""	""	""	""	""	""	""
"Wild Irish Rose"	"CHF 18,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 18,00"	""	""
