"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Gesamt - Beverage (Getränke)"	"CHF 94521,20"	"CHF 2012,40"	"CHF 1176,40"	"CHF 1721,90"	"CHF 1965,90"	"CHF 4309,10"	"CHF 5514,10"	"CHF 7536,00"	"CHF 2902,60"	"CHF 2061,30"	"CHF 1755,70"	"CHF 1613,30"	"CHF 3979,40"	"CHF 3503,60"	"CHF 6629,30"	"CHF 1976,90"	"CHF 1336,10"	"CHF 2568,80"	"CHF 3029,50"	"CHF 2943,50"	"CHF 5154,80"	"CHF 5279,70"	"CHF 2700,10"	"CHF 1145,10"	"CHF 1867,00"	"CHF 2239,40"	"CHF 4371,50"	"CHF 5283,10"	"CHF 6159,80"	"CHF 1784,90"	""	""
"Wasser mit 100cl"	"CHF 5690,50"	"CHF 114,00"	"CHF 123,50"	"CHF 104,50"	"CHF 85,50"	"CHF 313,50"	"CHF 256,50"	"CHF 380,00"	"CHF 218,50"	"CHF 114,00"	"CHF 104,50"	"CHF 133,00"	"CHF 285,00"	"CHF 161,50"	"CHF 361,00"	"CHF 152,00"	"CHF 85,50"	"CHF 123,50"	"CHF 209,00"	"CHF 161,50"	"CHF 285,00"	"CHF 294,50"	"CHF 152,00"	"CHF 95,00"	"CHF 209,00"	"CHF 142,50"	"CHF 256,50"	"CHF 285,00"	"CHF 380,00"	"CHF 104,50"	""	""
"Wasser ohne 100cl"	"CHF 4854,50"	"CHF 85,50"	"CHF 66,50"	"CHF 66,50"	"CHF 85,50"	"CHF 180,50"	"CHF 218,50"	"CHF 408,50"	"CHF 171,00"	"CHF 123,50"	"CHF 66,50"	"CHF 57,00"	"CHF 190,00"	"CHF 133,00"	"CHF 294,50"	"CHF 95,00"	"CHF 104,50"	"CHF 123,50"	"CHF 209,00"	"CHF 171,00"	"CHF 285,00"	"CHF 237,50"	"CHF 199,50"	"CHF 57,00"	"CHF 104,50"	"CHF 85,50"	"CHF 323,00"	"CHF 275,50"	"CHF 256,50"	"CHF 180,50"	""	""
"Espresso"	"CHF 4616,30"	"CHF 127,20"	"CHF 90,10"	"CHF 164,30"	"CHF 137,80"	"CHF 275,60"	"CHF 217,30"	"CHF 386,90"	"CHF 238,50"	"CHF 132,50"	"CHF 100,70"	"CHF 164,30"	"CHF 275,60"	"CHF 180,20"	"CHF 121,90"	"CHF 95,40"	"CHF 68,90"	"CHF 185,50"	"CHF 169,60"	"CHF 79,50"	"CHF 217,30"	"CHF 196,10"	"CHF 116,60"	"CHF 47,70"	"CHF 106,00"	"CHF 148,40"	"CHF 185,50"	"CHF 190,80"	"CHF 137,80"	"CHF 58,30"	""	""
"Lager 25cl"	"CHF 3474,20"	"CHF 69,60"	"CHF 34,80"	"CHF 133,40"	"CHF 121,80"	"CHF 168,20"	"CHF 162,40"	"CHF 220,40"	"CHF 92,80"	"CHF 104,40"	"CHF 110,20"	"CHF 46,40"	"CHF 133,40"	"CHF 116,00"	"CHF 208,80"	"CHF 92,80"	"CHF 46,40"	"CHF 220,40"	"CHF 69,60"	"CHF 104,40"	"CHF 185,60"	"CHF 87,00"	"CHF 116,00"	"CHF 17,40"	"CHF 133,40"	"CHF 121,80"	"CHF 92,80"	"CHF 150,80"	"CHF 249,40"	"CHF 63,80"	""	""
"Coca Cola Zero 33cl"	"CHF 3224,80"	"CHF 116,00"	"CHF 104,40"	"CHF 69,60"	"CHF 87,00"	"CHF 174,00"	"CHF 150,80"	"CHF 197,20"	"CHF 133,40"	"CHF 34,80"	"CHF 81,20"	"CHF 63,80"	"CHF 139,20"	"CHF 104,40"	"CHF 150,80"	"CHF 63,80"	"CHF 5,80"	"CHF 52,20"	"CHF 98,60"	"CHF 110,20"	"CHF 220,40"	"CHF 150,80"	"CHF 58,00"	"CHF 69,60"	"CHF 150,80"	"CHF 121,80"	"CHF 121,80"	"CHF 121,80"	"CHF 145,00"	"CHF 127,60"	""	""
"Aperol Spritz 15cl"	"CHF 2990,00"	"CHF 78,00"	""	"CHF 91,00"	"CHF 104,00"	"CHF 130,00"	"CHF 208,00"	"CHF 325,00"	"CHF 26,00"	"CHF 39,00"	"CHF 117,00"	"CHF 52,00"	"CHF 78,00"	"CHF 208,00"	"CHF 429,00"	"CHF 13,00"	""	"CHF 13,00"	"CHF 65,00"	"CHF 39,00"	"CHF 260,00"	"CHF 130,00"	"CHF 39,00"	"CHF 39,00"	"CHF 13,00"	"CHF 39,00"	"CHF 130,00"	"CHF 169,00"	"CHF 104,00"	"CHF 52,00"	""	""
"Wasser mit 50cl"	"CHF 2652,00"	"CHF 54,00"	"CHF 66,00"	"CHF 60,00"	"CHF 90,00"	"CHF 78,00"	"CHF 90,00"	"CHF 102,00"	"CHF 114,00"	"CHF 36,00"	"CHF 114,00"	"CHF 72,00"	"CHF 150,00"	"CHF 150,00"	"CHF 96,00"	"CHF 54,00"	"CHF 60,00"	"CHF 78,00"	"CHF 126,00"	"CHF 96,00"	"CHF 132,00"	"CHF 126,00"	"CHF 78,00"	"CHF 78,00"	"CHF 54,00"	"CHF 114,00"	"CHF 60,00"	"CHF 120,00"	"CHF 138,00"	"CHF 66,00"	""	""
"Coca Cola 33cl"	"CHF 2360,60"	"CHF 133,40"	"CHF 58,00"	"CHF 46,40"	"CHF 63,80"	"CHF 87,00"	"CHF 98,60"	"CHF 191,40"	"CHF 127,60"	"CHF 46,40"	"CHF 34,80"	"CHF 63,80"	"CHF 75,40"	"CHF 121,80"	"CHF 179,80"	"CHF 52,20"	"CHF 5,80"	"CHF 87,00"	"CHF 116,00"	"CHF 87,00"	"CHF 81,20"	"CHF 87,00"	"CHF 87,00"	"CHF 46,40"	"CHF 75,40"	"CHF 40,60"	"CHF 34,80"	"CHF 81,20"	"CHF 104,40"	"CHF 46,40"	""	""
"Hugo 10cl"	"CHF 2210,00"	"CHF 65,00"	"CHF 52,00"	"CHF 26,00"	"CHF 26,00"	"CHF 78,00"	"CHF 39,00"	"CHF 325,00"	"CHF 65,00"	"CHF 65,00"	"CHF 26,00"	""	""	"CHF 104,00"	"CHF 325,00"	""	"CHF 26,00"	"CHF 52,00"	"CHF 39,00"	"CHF 26,00"	"CHF 143,00"	"CHF 91,00"	"CHF 52,00"	""	"CHF 91,00"	"CHF 39,00"	"CHF 91,00"	"CHF 104,00"	"CHF 208,00"	"CHF 52,00"	""	""
"Wasser ohne 50cl"	"CHF 2076,00"	"CHF 60,00"	"CHF 42,00"	"CHF 18,00"	"CHF 72,00"	"CHF 84,00"	"CHF 162,00"	"CHF 78,00"	"CHF 90,00"	"CHF 24,00"	"CHF 60,00"	"CHF 42,00"	"CHF 84,00"	"CHF 120,00"	"CHF 90,00"	"CHF 54,00"	"CHF 42,00"	"CHF 108,00"	"CHF 78,00"	"CHF 36,00"	"CHF 96,00"	"CHF 132,00"	"CHF 78,00"	"CHF 42,00"	"CHF 60,00"	"CHF 48,00"	"CHF 54,00"	"CHF 78,00"	"CHF 114,00"	"CHF 30,00"	""	""
"Kaffee"	"CHF 1870,90"	"CHF 47,70"	"CHF 21,20"	"CHF 26,50"	"CHF 53,00"	"CHF 121,90"	"CHF 47,70"	"CHF 164,30"	"CHF 47,70"	"CHF 15,90"	"CHF 31,80"	"CHF 47,70"	"CHF 106,00"	"CHF 53,00"	"CHF 47,70"	"CHF 63,60"	"CHF 47,70"	"CHF 63,60"	"CHF 79,50"	"CHF 95,40"	"CHF 79,50"	"CHF 79,50"	"CHF 74,20"	"CHF 15,90"	"CHF 79,50"	"CHF 63,60"	"CHF 47,70"	"CHF 79,50"	"CHF 111,30"	"CHF 58,30"	""	""
"Pornstar Martini"	"CHF 1854,00"	""	""	"CHF 18,00"	""	"CHF 36,00"	"CHF 216,00"	"CHF 252,00"	"CHF 36,00"	"CHF 72,00"	""	"CHF 18,00"	""	"CHF 18,00"	"CHF 288,00"	"CHF 36,00"	""	"CHF 18,00"	"CHF 108,00"	"CHF 18,00"	"CHF 216,00"	"CHF 126,00"	"CHF 18,00"	""	""	""	""	"CHF 144,00"	"CHF 216,00"	""	""	""
"Oliv Spritz"	"CHF 1750,00"	"CHF 28,00"	"CHF 28,00"	""	""	"CHF 28,00"	"CHF 70,00"	"CHF 196,00"	"CHF 56,00"	"CHF 14,00"	"CHF 42,00"	"CHF 14,00"	""	"CHF 14,00"	"CHF 210,00"	"CHF 14,00"	"CHF 56,00"	"CHF 70,00"	"CHF 42,00"	"CHF 70,00"	"CHF 140,00"	"CHF 196,00"	"CHF 14,00"	"CHF 14,00"	"CHF 28,00"	"CHF 112,00"	"CHF 14,00"	"CHF 154,00"	"CHF 112,00"	"CHF 14,00"	""	""
"Barbera d‘Alba 10cl"	"CHF 1564,80"	""	"CHF 28,80"	"CHF 57,60"	"CHF 19,20"	""	"CHF 38,40"	"CHF 48,00"	"CHF 48,00"	"CHF 19,20"	"CHF 28,80"	"CHF 115,20"	"CHF 76,80"	"CHF 96,00"	"CHF 230,40"	"CHF 48,00"	"CHF 19,20"	"CHF 19,20"	"CHF 86,40"	"CHF 28,80"	"CHF 124,80"	"CHF 105,60"	"CHF 9,60"	"CHF 67,20"	"CHF 48,00"	"CHF 9,60"	"CHF 57,60"	"CHF 124,80"	"CHF 9,60"	""	""	""
"Barbera d'Alba 150cl"	"CHF 1500,00"	"CHF 125,00"	""	""	""	"CHF 750,00"	""	""	""	""	""	""	"CHF 500,00"	""	"CHF 125,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Hausgemachter Eistee 30cl"	"CHF 1435,00"	"CHF 77,00"	"CHF 28,00"	"CHF 28,00"	"CHF 49,00"	"CHF 21,00"	"CHF 77,00"	"CHF 154,00"	"CHF 63,00"	"CHF 84,00"	"CHF 28,00"	"CHF 14,00"	"CHF 21,00"	"CHF 63,00"	"CHF 35,00"	"CHF 35,00"	"CHF 28,00"	"CHF 56,00"	"CHF 49,00"	"CHF 70,00"	"CHF 28,00"	"CHF 77,00"	"CHF 28,00"	"CHF 28,00"	"CHF 7,00"	"CHF 28,00"	"CHF 70,00"	"CHF 98,00"	"CHF 91,00"	""	""	""
"Primitivo Sampore 10cl"	"CHF 1377,00"	"CHF 27,00"	"CHF 9,00"	"CHF 36,00"	"CHF 90,00"	"CHF 9,00"	"CHF 45,00"	"CHF 90,00"	"CHF 54,00"	""	"CHF 90,00"	"CHF 18,00"	"CHF 54,00"	"CHF 9,00"	"CHF 81,00"	"CHF 9,00"	""	"CHF 45,00"	"CHF 54,00"	"CHF 54,00"	"CHF 99,00"	"CHF 63,00"	"CHF 63,00"	"CHF 18,00"	"CHF 27,00"	"CHF 63,00"	"CHF 54,00"	"CHF 99,00"	"CHF 99,00"	"CHF 18,00"	""	""
"Sunny Oliv"	"CHF 1274,00"	"CHF 26,00"	"CHF 13,00"	""	"CHF 13,00"	"CHF 78,00"	"CHF 78,00"	"CHF 260,00"	"CHF 91,00"	""	"CHF 13,00"	""	""	"CHF 39,00"	"CHF 117,00"	"CHF 26,00"	"CHF 0,00"	"CHF 13,00"	"CHF 26,00"	""	"CHF 91,00"	"CHF 65,00"	"CHF 13,00"	""	"CHF 13,00"	"CHF 26,00"	"CHF 13,00"	"CHF 39,00"	"CHF 195,00"	"CHF 26,00"	""	""
"Espresso Martini"	"CHF 1241,00"	""	""	""	"CHF 17,00"	""	"CHF 170,00"	"CHF 102,00"	"CHF 17,00"	"CHF 17,00"	""	""	""	"CHF 17,00"	"CHF 170,00"	""	""	"CHF 34,00"	""	"CHF 102,00"	"CHF 68,00"	"CHF 68,00"	""	"CHF 17,00"	""	""	"CHF 17,00"	"CHF 204,00"	"CHF 221,00"	""	""	""
"Tintafina 10cl"	"CHF 1120,00"	"CHF 50,00"	"CHF 10,00"	""	"CHF 10,00"	""	"CHF 110,00"	"CHF 70,00"	""	""	"CHF 30,00"	""	"CHF 70,00"	"CHF 70,00"	"CHF 60,00"	"CHF 20,00"	""	"CHF 100,00"	""	"CHF 20,00"	"CHF 60,00"	"CHF 60,00"	"CHF 20,00"	"CHF 10,00"	"CHF 10,00"	"CHF 10,00"	"CHF 70,00"	"CHF 140,00"	"CHF 110,00"	"CHF 10,00"	""	""
"Gurten Zähringer 25cl"	"CHF 1111,50"	"CHF 26,00"	""	"CHF 78,00"	"CHF 19,50"	"CHF 32,50"	"CHF 45,50"	"CHF 32,50"	"CHF 13,00"	"CHF 32,50"	"CHF 52,00"	"CHF 39,00"	"CHF 71,50"	"CHF 26,00"	"CHF 19,50"	"CHF 6,50"	"CHF 13,00"	""	"CHF 26,00"	"CHF 26,00"	"CHF 32,50"	"CHF 45,50"	"CHF 52,00"	"CHF 6,50"	"CHF 39,00"	"CHF 6,50"	"CHF 19,50"	"CHF 65,00"	"CHF 273,00"	"CHF 13,00"	""	""
"Mythos 10cl"	"CHF 1102,40"	""	"CHF 10,60"	"CHF 53,00"	"CHF 95,40"	"CHF 42,40"	"CHF 53,00"	"CHF 10,60"	"CHF 42,40"	""	""	"CHF 53,00"	"CHF 10,60"	"CHF 84,80"	"CHF 84,80"	"CHF 31,80"	""	""	"CHF 31,80"	"CHF 63,60"	"CHF 106,00"	"CHF 74,20"	"CHF 63,60"	"CHF 63,60"	""	"CHF 10,60"	""	"CHF 21,20"	"CHF 95,40"	""	""	""
"Cappuccino"	"CHF 1049,60"	"CHF 64,00"	"CHF 12,80"	"CHF 32,00"	"CHF 19,20"	"CHF 38,40"	"CHF 44,80"	"CHF 204,80"	"CHF 57,60"	"CHF 44,80"	"CHF 19,20"	"CHF 12,80"	"CHF 25,60"	"CHF 57,60"	"CHF 12,80"	"CHF 32,00"	"CHF 32,00"	"CHF 25,60"	"CHF 12,80"	"CHF 32,00"	"CHF 19,20"	"CHF 38,40"	"CHF 19,20"	"CHF 12,80"	"CHF 25,60"	"CHF 19,20"	"CHF 25,60"	"CHF 38,40"	"CHF 19,20"	"CHF 51,20"	""	""
"ADORO Prosecco Conegliano Extra Dry 10cl"	"CHF 1044,00"	"CHF 18,00"	""	""	"CHF 63,00"	"CHF 45,00"	"CHF 99,00"	"CHF 135,00"	"CHF 18,00"	"CHF 27,00"	"CHF 36,00"	""	"CHF 18,00"	"CHF 18,00"	"CHF 99,00"	"CHF 18,00"	"CHF 18,00"	"CHF 36,00"	""	"CHF 9,00"	"CHF 90,00"	"CHF 18,00"	"CHF 9,00"	"CHF 45,00"	"CHF 81,00"	"CHF 81,00"	""	"CHF 27,00"	"CHF 36,00"	""	""	""
"Châteauneuf-du-Pape Rouge 75cl"	"CHF 856,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 856,00"	""	""	""	""	""
"Coconut Kiss"	"CHF 819,00"	"CHF 52,00"	""	""	""	""	"CHF 78,00"	"CHF 156,00"	"CHF 26,00"	""	"CHF 13,00"	""	""	""	"CHF 91,00"	"CHF 13,00"	""	""	""	"CHF 13,00"	"CHF 65,00"	"CHF 52,00"	"CHF 13,00"	""	"CHF 26,00"	""	""	"CHF 104,00"	"CHF 104,00"	"CHF 13,00"	""	""
"Länggasstee"	"CHF 795,20"	"CHF 50,40"	"CHF 11,20"	"CHF 33,60"	"CHF 16,80"	"CHF 50,40"	"CHF 11,20"	"CHF 33,60"	"CHF 39,20"	"CHF 5,60"	"CHF 22,40"	"CHF 50,40"	"CHF 5,60"	"CHF 33,60"	"CHF 22,40"	"CHF 33,60"	"CHF 22,40"	"CHF 33,60"	"CHF 28,00"	"CHF 22,40"	"CHF 16,80"	"CHF 44,80"	"CHF 39,20"	"CHF 22,40"	"CHF 5,60"	"CHF 5,60"	"CHF 5,60"	"CHF 61,60"	"CHF 39,20"	"CHF 28,00"	""	""
"Gespritzter Weisswein 15cl"	"CHF 765,00"	"CHF 18,00"	""	"CHF 9,00"	"CHF 18,00"	"CHF 9,00"	"CHF 27,00"	"CHF 81,00"	"CHF 18,00"	""	"CHF 18,00"	"CHF 18,00"	"CHF 9,00"	"CHF 18,00"	""	"CHF 36,00"	""	"CHF 18,00"	"CHF 9,00"	""	"CHF 18,00"	"CHF 180,00"	"CHF 18,00"	"CHF 18,00"	""	"CHF 18,00"	"CHF 36,00"	"CHF 81,00"	"CHF 90,00"	""	""	""
"Gertrud 10cl"	"CHF 756,00"	""	"CHF 25,20"	""	"CHF 16,80"	"CHF 42,00"	"CHF 16,80"	""	"CHF 16,80"	"CHF 25,20"	"CHF 16,80"	""	"CHF 8,40"	"CHF 42,00"	"CHF 50,40"	"CHF 16,80"	"CHF 67,20"	""	"CHF 8,40"	"CHF 25,20"	"CHF 100,80"	"CHF 16,80"	"CHF 25,20"	"CHF 16,80"	"CHF 25,20"	"CHF 67,20"	"CHF 33,60"	"CHF 58,80"	"CHF 33,60"	""	""	""
"El Gordo del Circo 10cl"	"CHF 746,20"	"CHF 18,20"	""	"CHF 18,20"	""	"CHF 18,20"	"CHF 18,20"	"CHF 91,00"	"CHF 9,10"	"CHF 18,20"	"CHF 63,70"	""	"CHF 18,20"	""	"CHF 100,10"	"CHF 27,30"	"CHF 18,20"	"CHF 27,30"	"CHF 45,50"	""	"CHF 36,40"	"CHF 36,40"	"CHF 9,10"	""	"CHF 45,50"	"CHF 45,50"	"CHF 18,20"	"CHF 18,20"	"CHF 45,50"	""	""	""
"Epesses Vignefol 75cl"	"CHF 741,00"	""	""	""	""	""	""	""	""	"CHF 57,00"	""	""	"CHF 228,00"	"CHF 57,00"	"CHF 57,00"	""	""	""	""	""	""	""	""	""	""	""	"CHF 342,00"	""	""	""	""	""
"Negroni"	"CHF 720,00"	"CHF 32,00"	""	"CHF 16,00"	"CHF 16,00"	"CHF 32,00"	""	"CHF 48,00"	""	""	""	"CHF 16,00"	"CHF 48,00"	"CHF 0,00"	"CHF 32,00"	""	""	""	""	"CHF 96,00"	"CHF 96,00"	"CHF 160,00"	"CHF 32,00"	"CHF 16,00"	""	""	"CHF 32,00"	"CHF 32,00"	"CHF 16,00"	""	""	""
"Sur Sur Grillo 10cl"	"CHF 718,90"	""	""	"CHF 91,00"	""	""	"CHF 81,90"	"CHF 91,00"	""	""	"CHF 9,10"	"CHF 9,10"	""	"CHF 27,30"	"CHF 72,80"	"CHF 18,20"	""	""	"CHF 18,20"	"CHF 36,40"	"CHF 18,20"	"CHF 54,60"	"CHF 36,40"	""	""	""	"CHF 36,40"	"CHF 54,60"	"CHF 63,70"	""	""	""
"Original Schneider Weisse 50cl"	"CHF 708,40"	"CHF 9,20"	""	"CHF 18,40"	""	"CHF 18,40"	"CHF 46,00"	"CHF 64,40"	""	"CHF 9,20"	""	""	""	"CHF 9,20"	"CHF 101,20"	"CHF 9,20"	""	"CHF 9,20"	"CHF 27,60"	"CHF 27,60"	"CHF 101,20"	"CHF 9,20"	"CHF 18,40"	""	""	"CHF 36,80"	"CHF 64,40"	"CHF 55,20"	"CHF 73,60"	""	""	""
"Mojito"	"CHF 702,00"	""	""	"CHF 54,00"	"CHF 18,00"	"CHF 18,00"	"CHF 54,00"	"CHF 54,00"	""	""	""	""	"CHF 18,00"	""	"CHF 72,00"	"CHF 18,00"	"CHF 36,00"	""	"CHF 18,00"	"CHF 72,00"	"CHF 54,00"	"CHF 36,00"	"CHF 36,00"	""	"CHF 18,00"	"CHF 54,00"	""	"CHF 18,00"	"CHF 54,00"	""	""	""
"Mademoiselle"	"CHF 616,00"	""	""	""	""	"CHF 14,00"	"CHF 42,00"	"CHF 98,00"	"CHF 84,00"	"CHF 28,00"	"CHF 28,00"	"CHF 28,00"	""	"CHF 42,00"	"CHF 14,00"	"CHF 14,00"	""	"CHF 14,00"	"CHF 14,00"	""	"CHF 42,00"	"CHF 42,00"	"CHF 28,00"	""	""	"CHF 14,00"	"CHF 42,00"	""	"CHF 14,00"	"CHF 14,00"	""	""
"Amaretto Sour"	"CHF 594,00"	""	""	""	""	""	"CHF 18,00"	"CHF 36,00"	"CHF 18,00"	""	""	""	""	"CHF 36,00"	"CHF 252,00"	"CHF 18,00"	""	""	"CHF 54,00"	"CHF 36,00"	""	"CHF 90,00"	""	""	""	""	"CHF 18,00"	"CHF 18,00"	"CHF 0,00"	""	""	""
"Feldschlösschen Alkoholfrei 33cl"	"CHF 588,80"	"CHF 6,40"	"CHF 19,20"	"CHF 6,40"	"CHF 51,20"	"CHF 51,20"	"CHF 32,00"	"CHF 38,40"	"CHF 38,40"	"CHF 19,20"	"CHF 12,80"	""	"CHF 51,20"	"CHF 6,40"	"CHF 25,60"	"CHF 6,40"	""	"CHF 6,40"	"CHF 44,80"	"CHF 19,20"	"CHF 19,20"	"CHF 6,40"	"CHF 6,40"	"CHF 25,60"	""	"CHF 19,20"	"CHF 51,20"	"CHF 6,40"	"CHF 19,20"	""	""	""
"Rubiolo Chianti Classico 10cl"	"CHF 576,00"	"CHF 18,00"	"CHF 9,00"	""	""	""	"CHF 18,00"	"CHF 63,00"	"CHF 54,00"	""	"CHF 27,00"	""	""	""	"CHF 36,00"	"CHF 54,00"	""	"CHF 18,00"	"CHF 9,00"	"CHF 27,00"	""	"CHF 18,00"	"CHF 45,00"	"CHF 18,00"	"CHF 27,00"	"CHF 45,00"	"CHF 27,00"	"CHF 36,00"	"CHF 27,00"	""	""	""
"Petit Chablis 10cl"	"CHF 551,00"	""	""	"CHF 9,50"	"CHF 28,50"	"CHF 28,50"	"CHF 38,00"	"CHF 19,00"	"CHF 9,50"	"CHF 9,50"	""	""	"CHF 9,50"	"CHF 19,00"	"CHF 28,50"	""	"CHF 19,00"	"CHF 28,50"	""	"CHF 38,00"	"CHF 95,00"	"CHF 28,50"	"CHF 38,00"	"CHF 19,00"	""	"CHF 38,00"	"CHF 9,50"	""	"CHF 38,00"	""	""	""
"Primitivo Sampone 75cl"	"CHF 540,00"	""	""	""	"CHF 60,00"	""	""	""	"CHF 60,00"	""	"CHF 60,00"	""	""	""	""	"CHF 60,00"	""	""	""	""	""	""	"CHF 120,00"	""	""	""	""	"CHF 60,00"	"CHF 120,00"	""	""	""
"Pouilly Fumé Élisa 10cl"	"CHF 539,00"	""	""	"CHF 9,80"	""	"CHF 9,80"	"CHF 98,00"	"CHF 88,20"	""	""	""	""	"CHF 19,60"	"CHF 49,00"	"CHF 88,20"	"CHF 68,60"	""	"CHF 19,60"	"CHF 29,40"	"CHF 19,60"	""	""	""	"CHF 19,60"	"CHF 9,80"	"CHF 9,80"	""	""	""	""	""	""
"Barbera d‘Alba 75cl"	"CHF 536,00"	""	"CHF 0,00"	""	""	""	""	"CHF 67,00"	""	""	""	""	"CHF 67,00"	""	""	""	""	""	"CHF 67,00"	"CHF 67,00"	""	""	"CHF 67,00"	""	""	""	"CHF 134,00"	""	""	"CHF 67,00"	""	""
"Yvorne Grand Cru 150cl"	"CHF 536,00"	""	""	""	""	""	""	""	""	""	""	""	"CHF 402,00"	""	""	""	""	""	"CHF 134,00"	""	""	""	""	""	""	""	""	""	""	""	""	""
"Macho Man 10cl"	"CHF 510,00"	""	""	"CHF 60,00"	""	"CHF 60,00"	"CHF 20,00"	"CHF 70,00"	""	""	"CHF 10,00"	"CHF 10,00"	"CHF 30,00"	"CHF 20,00"	"CHF 40,00"	""	""	"CHF 10,00"	""	"CHF 60,00"	"CHF 20,00"	""	"CHF 10,00"	""	""	"CHF 50,00"	""	"CHF 10,00"	"CHF 30,00"	""	""	""
"Fusetea Lemon 33cl"	"CHF 498,80"	"CHF 29,00"	"CHF 5,80"	"CHF 5,80"	""	"CHF 17,40"	"CHF 23,20"	"CHF 34,80"	"CHF 17,40"	"CHF 17,40"	""	"CHF 17,40"	"CHF 17,40"	"CHF 46,40"	"CHF 52,20"	"CHF 11,60"	"CHF 11,60"	"CHF 5,80"	"CHF 17,40"	"CHF 11,60"	"CHF 5,80"	"CHF 17,40"	""	""	"CHF 5,80"	"CHF 23,20"	"CHF 17,40"	"CHF 29,00"	"CHF 58,00"	""	""	""
"Armando 10cl"	"CHF 498,40"	""	""	""	""	""	"CHF 80,10"	"CHF 35,60"	"CHF 8,90"	""	"CHF 17,80"	""	""	"CHF 26,70"	""	"CHF 26,70"	""	"CHF 44,50"	"CHF 8,90"	"CHF 53,40"	"CHF 89,00"	"CHF 17,80"	""	""	""	""	"CHF 35,60"	"CHF 26,70"	"CHF 26,70"	""	""	""
"Moscow Mule"	"CHF 493,00"	""	""	"CHF 17,00"	""	"CHF 102,00"	""	""	"CHF 51,00"	"CHF 34,00"	""	""	""	""	"CHF 68,00"	""	""	""	""	"CHF 17,00"	"CHF 17,00"	"CHF 17,00"	""	"CHF 17,00"	""	""	""	"CHF 34,00"	"CHF 102,00"	"CHF 17,00"	""	""
"Gin Basil Smash"	"CHF 493,00"	""	""	""	""	"CHF 34,00"	"CHF 34,00"	"CHF 34,00"	"CHF 34,00"	"CHF 34,00"	""	"CHF 17,00"	""	"CHF 51,00"	"CHF 34,00"	""	""	""	"CHF 68,00"	"CHF 17,00"	"CHF 34,00"	"CHF 17,00"	""	""	""	""	""	"CHF 85,00"	""	""	""	""
"Albino Bianco 10cl"	"CHF 492,90"	""	"CHF 27,90"	"CHF 37,20"	"CHF 9,30"	"CHF 18,60"	"CHF 46,50"	"CHF 18,60"	"CHF 83,70"	""	"CHF 18,60"	"CHF 9,30"	"CHF 37,20"	""	""	"CHF 9,30"	""	"CHF 55,80"	""	"CHF 9,30"	"CHF 18,60"	"CHF 37,20"	"CHF 9,30"	"CHF 9,30"	""	""	""	"CHF 9,30"	"CHF 27,90"	""	""	""
"Epesses Vignefol 10cl"	"CHF 483,80"	""	"CHF 8,20"	""	""	"CHF 32,80"	""	"CHF 16,40"	""	"CHF 98,40"	""	"CHF 8,20"	""	"CHF 49,20"	"CHF 8,20"	"CHF 8,20"	""	"CHF 32,80"	"CHF 24,60"	""	"CHF 24,60"	"CHF 49,20"	"CHF 16,40"	""	""	"CHF 24,60"	""	"CHF 49,20"	"CHF 16,40"	"CHF 16,40"	""	""
"Malanser Blauburgunder Classic 10cl"	"CHF 479,60"	"CHF 32,70"	"CHF 54,50"	""	""	""	"CHF 32,70"	"CHF 21,80"	"CHF 21,80"	"CHF 21,80"	"CHF 10,90"	"CHF 21,80"	"CHF 10,90"	""	"CHF 87,20"	""	"CHF 32,70"	"CHF 54,50"	""	""	""	""	""	"CHF 10,90"	""	"CHF 10,90"	""	"CHF 10,90"	"CHF 10,90"	"CHF 32,70"	""	""
"Braufrisch 25cl"	"CHF 469,00"	"CHF 7,00"	""	"CHF 7,00"	""	"CHF 7,00"	"CHF 7,00"	"CHF 42,00"	"CHF 49,00"	""	""	""	""	"CHF 21,00"	"CHF 7,00"	""	"CHF 14,00"	"CHF 21,00"	""	""	"CHF 21,00"	"CHF 21,00"	"CHF 7,00"	"CHF 28,00"	""	""	"CHF 63,00"	"CHF 84,00"	"CHF 42,00"	"CHF 21,00"	""	""
"Hausgemachte Limonade 30cl"	"CHF 468,00"	"CHF 6,50"	""	""	"CHF 13,00"	"CHF 13,00"	"CHF 13,00"	"CHF 39,00"	"CHF 26,00"	"CHF 6,50"	"CHF 19,50"	""	"CHF 19,50"	""	"CHF 6,50"	"CHF 13,00"	"CHF 52,00"	"CHF 26,00"	"CHF 26,00"	"CHF 13,00"	"CHF 13,00"	"CHF 32,50"	"CHF 52,00"	""	"CHF 6,50"	"CHF 13,00"	"CHF 13,00"	"CHF 6,50"	"CHF 6,50"	"CHF 32,50"	""	""
