"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Pizza und Küche"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""
"Pizza und Küche"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""
"Die Pancakes"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""
"Das Avocado Toast"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""
"Das Eggs Benedict"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""
"mit Lachs"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""
"mit Schinken"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""
"Pizza und Küche"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""
"Vanille"	"CHF 0,00"	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	""	""	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	""	""	""	""
"Kaffee"	"CHF 0,00"	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""
"Sushi/Sashimi Teller"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""
"Extra Beilagen"	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""
"Pistazien Glace"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	"CHF 0,00"	""	"CHF 0,00"	""	"CHF 0,00"	""	""
"Blaubeeren Sorbet"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	""	""	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""
"Amarena Glace"	"CHF 0,00"	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	""	""	""	""	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""
"Zitronensorbet"	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	"CHF 0,00"	""	"CHF 0,00"	""	""	""
"Schokoladen Glace"	"CHF 0,00"	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""
"Pizza und Küche"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	""
"Pizza und Küche"	"CHF 0,00"	""	""	"CHF 0,00"	""	""	""	"CHF 0,00"	""	"CHF 0,00"	""	"CHF 0,00"	""	""	"CHF 0,00"	""	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	""	""
"Pizza und Küche"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	""	""	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""
"nicht scharf"	"CHF 0,00"	""	"CHF 0,00"	""	""	""	""	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	"CHF 0,00"	""	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	"CHF 0,00"	"CHF 0,00"	""	""
"ohne Alkohol"	"CHF 0,00"	""	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""
"mittel"	"CHF 0,00"	""	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	""
"scharf"	"CHF 0,00"	""	"CHF 0,00"	""	""	""	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	""	""	""
"Abfrage Pizza Extra"	"CHF 0,00"	""	""	""	"CHF 0,00"	""	""	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	""	""	"CHF 0,00"	""	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	""	""	""
"Calvados"	"CHF 0,00"	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Cognac"	"CHF 0,00"	""	""	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""
"Saignant"	"CHF 0,00"	""	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	""	""	"CHF 0,00"	""	""	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""
"Whiskey"	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Die Acai Bowl"	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
