"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Crunchy Shrimp"	"CHF 528,00"	"CHF 36,00"	"CHF 24,00"	"CHF 36,00"	""	"CHF 12,00"	"CHF 24,00"	""	"CHF 36,00"	""	""	""	"CHF 12,00"	"CHF 24,00"	"CHF 72,00"	""	""	"CHF 12,00"	""	"CHF 12,00"	"CHF 48,00"	"CHF 24,00"	""	""	""	"CHF 12,00"	"CHF 36,00"	"CHF 36,00"	"CHF 72,00"	""	""	""
"Vegi Menu"	"CHF 480,00"	""	""	""	""	"CHF 480,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Pizza Tonno TA"	"CHF 432,00"	"CHF 16,00"	"CHF 16,00"	"CHF 16,00"	""	"CHF 48,00"	"CHF 16,00"	"CHF 16,00"	""	""	"CHF 64,00"	""	""	"CHF 32,00"	""	"CHF 16,00"	""	""	""	"CHF 16,00"	"CHF 64,00"	"CHF 32,00"	"CHF 32,00"	""	""	""	""	""	"CHF 32,00"	"CHF 16,00"	""	""
"Kinder Pizza Margherita"	"CHF 432,00"	"CHF 24,00"	"CHF 12,00"	"CHF 0,00"	""	""	""	"CHF 48,00"	"CHF 12,00"	"CHF 24,00"	""	""	"CHF 12,00"	"CHF 36,00"	"CHF 24,00"	""	""	""	""	"CHF 12,00"	"CHF 60,00"	"CHF 48,00"	"CHF 48,00"	""	""	""	""	"CHF 24,00"	"CHF 12,00"	"CHF 36,00"	""	""
"Rainbow Salmon"	"CHF 432,00"	""	""	"CHF 12,00"	"CHF 12,00"	""	"CHF 24,00"	"CHF 36,00"	"CHF 36,00"	"CHF 12,00"	""	"CHF 48,00"	""	"CHF 12,00"	"CHF 48,00"	""	"CHF 12,00"	""	""	"CHF 12,00"	"CHF 48,00"	""	"CHF 24,00"	""	""	""	"CHF 12,00"	"CHF 12,00"	"CHF 72,00"	""	""	""
"Die Tortellini Brodo Suppe"	"CHF 382,50"	"CHF 15,00"	"CHF 30,00"	""	"CHF 30,00"	"CHF 45,00"	""	"CHF 45,00"	"CHF 30,00"	"CHF 15,00"	""	"CHF 15,00"	""	""	""	"CHF 30,00"	"CHF 15,00"	""	""	"CHF 7,50"	""	""	"CHF 30,00"	"CHF 15,00"	""	""	""	""	"CHF 45,00"	"CHF 15,00"	""	""
"Menusalat"	"CHF 360,00"	""	"CHF 10,00"	"CHF 20,00"	"CHF 10,00"	"CHF 40,00"	"CHF 10,00"	""	""	"CHF 5,00"	"CHF 30,00"	"CHF 35,00"	"CHF 15,00"	"CHF 10,00"	""	""	"CHF 10,00"	"CHF 15,00"	""	"CHF 5,00"	"CHF 5,00"	""	""	"CHF 20,00"	"CHF 30,00"	"CHF 10,00"	"CHF 70,00"	"CHF 10,00"	""	""	""	""
"Pizza Funghi"	"CHF 336,00"	""	"CHF 21,00"	""	"CHF 21,00"	"CHF 42,00"	""	"CHF 21,00"	"CHF 21,00"	"CHF 21,00"	""	"CHF 42,00"	""	"CHF 21,00"	""	"CHF 21,00"	"CHF 21,00"	""	""	""	"CHF 63,00"	"CHF 21,00"	""	""	""	""	""	""	""	""	""	""
"Kleines lachstartar"	"CHF 320,00"	""	""	""	""	""	""	""	""	""	""	""	"CHF 200,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 120,00"	""	""	""	""	""
"Kinder Chicken Nuggets"	"CHF 285,00"	""	""	"CHF 15,00"	""	""	""	"CHF 15,00"	"CHF 15,00"	""	"CHF 15,00"	""	""	"CHF 30,00"	""	""	""	""	"CHF 15,00"	""	"CHF 15,00"	"CHF 30,00"	""	"CHF 15,00"	""	"CHF 15,00"	""	"CHF 30,00"	"CHF 30,00"	"CHF 45,00"	""	""
"Kinder Pommes"	"CHF 276,00"	"CHF 12,00"	"CHF 12,00"	""	""	""	""	"CHF 12,00"	"CHF 60,00"	"CHF 24,00"	""	""	""	""	""	""	""	"CHF 12,00"	""	""	""	"CHF 72,00"	""	"CHF 12,00"	"CHF 12,00"	""	"CHF 12,00"	"CHF 12,00"	"CHF 24,00"	""	""	""
"Pizza Napoli TA"	"CHF 240,00"	"CHF 16,00"	""	"CHF 32,00"	""	"CHF 32,00"	"CHF 16,00"	""	"CHF 16,00"	"CHF 16,00"	""	""	""	""	""	"CHF 16,00"	"CHF 16,00"	"CHF 32,00"	"CHF 16,00"	""	""	"CHF 16,00"	""	"CHF 16,00"	""	""	""	""	""	""	""	""
"Glace 2 Kugeln"	"CHF 240,00"	""	""	""	""	"CHF 20,00"	"CHF 10,00"	"CHF 40,00"	"CHF 20,00"	"CHF 40,00"	""	""	""	""	"CHF 10,00"	"CHF 10,00"	""	"CHF 10,00"	""	"CHF 10,00"	"CHF 10,00"	""	"CHF 10,00"	""	""	""	"CHF 10,00"	"CHF 30,00"	"CHF 10,00"	""	""	""
"Kinder Pizza Prosciutto"	"CHF 240,00"	""	""	""	""	"CHF 15,00"	""	"CHF 30,00"	""	""	""	""	""	""	""	""	""	"CHF 30,00"	""	""	"CHF 30,00"	"CHF 75,00"	"CHF 15,00"	"CHF 15,00"	""	""	""	""	"CHF 15,00"	"CHF 15,00"	""	""
