"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"ADORO Prosecco Conegliano Extra Dry 10cl"	"116"	"2"	""	""	"7"	"5"	"11"	"15"	"2"	"3"	"4"	""	"2"	"2"	"11"	"2"	"2"	"4"	""	"1"	"10"	"2"	"1"	"5"	"9"	"9"	""	"3"	"4"	""	""	""
"Tintafina 10cl"	"112"	"5"	"1"	""	"1"	""	"11"	"7"	""	""	"3"	""	"7"	"7"	"6"	"2"	""	"10"	""	"2"	"6"	"6"	"2"	"1"	"1"	"1"	"7"	"14"	"11"	"1"	""	""
"Sunny Oliv"	"104"	"2"	"1"	""	"1"	"6"	"6"	"20"	"7"	""	"1"	""	""	"3"	"9"	"4"	"4"	"1"	"2"	""	"7"	"5"	"1"	""	"1"	"2"	"1"	"3"	"15"	"2"	""	""
"Mythos 10cl"	"104"	""	"1"	"5"	"9"	"4"	"5"	"1"	"4"	""	""	"5"	"1"	"8"	"8"	"3"	""	""	"3"	"6"	"10"	"7"	"6"	"6"	""	"1"	""	"2"	"9"	""	""	""
"Pornstar Martini"	"104"	""	""	"1"	""	"2"	"12"	"14"	"2"	"4"	""	"1"	""	"1"	"17"	"2"	""	"1"	"6"	"1"	"12"	"7"	"1"	""	""	""	""	"8"	"12"	""	""	""
"Feldschlösschen Alkoholfrei 33cl"	"92"	"1"	"3"	"1"	"8"	"8"	"5"	"6"	"6"	"3"	"2"	""	"8"	"1"	"4"	"1"	""	"1"	"7"	"3"	"3"	"1"	"1"	"4"	""	"3"	"8"	"1"	"3"	""	""	""
"Gertrud 10cl"	"90"	""	"3"	""	"2"	"5"	"2"	""	"2"	"3"	"2"	""	"1"	"5"	"6"	"2"	"8"	""	"1"	"3"	"12"	"2"	"3"	"2"	"3"	"8"	"4"	"7"	"4"	""	""	""
"Fusetea Lemon 33cl"	"86"	"5"	"1"	"1"	""	"3"	"4"	"6"	"3"	"3"	""	"3"	"3"	"8"	"9"	"2"	"2"	"1"	"3"	"2"	"1"	"3"	""	""	"1"	"4"	"3"	"5"	"10"	""	""	""
"Gespritzter Weisswein 15cl"	"85"	"2"	""	"1"	"2"	"1"	"3"	"9"	"2"	""	"2"	"2"	"1"	"2"	""	"4"	""	"2"	"1"	""	"2"	"20"	"2"	"2"	""	"2"	"4"	"9"	"10"	""	""	""
"El Gordo del Circo 10cl"	"83"	"2"	""	"2"	""	"2"	"2"	"10"	"1"	"2"	"7"	""	"2"	""	"11"	"3"	"2"	"3"	"5"	""	"4"	"4"	"1"	""	"5"	"5"	"2"	"2"	"6"	""	""	""
"Espresso Martini"	"82"	""	""	""	"1"	""	"17"	"6"	"1"	"1"	""	""	""	"1"	"11"	""	""	"2"	""	"6"	"4"	"4"	""	"1"	""	""	"1"	"12"	"14"	""	""	""
"Sur Sur Grillo 10cl"	"79"	""	""	"10"	""	""	"9"	"10"	""	""	"1"	"1"	""	"3"	"8"	"2"	""	""	"2"	"4"	"2"	"6"	"4"	""	""	""	"4"	"6"	"7"	""	""	""
"Original Schneider Weisse 50cl"	"77"	"1"	""	"2"	""	"2"	"5"	"7"	""	"1"	""	""	""	"1"	"11"	"1"	""	"1"	"3"	"3"	"11"	"1"	"2"	""	""	"4"	"7"	"6"	"8"	""	""	""
"Apfelschorle 33cl"	"76"	"6"	"4"	"2"	""	"9"	"2"	"1"	"1"	""	"5"	"3"	"3"	"2"	"3"	"1"	""	""	"2"	"3"	"4"	"10"	"2"	"1"	"3"	"1"	"3"	"4"	"1"	""	""	""
"Hausgemachte Limonade 30cl"	"72"	"1"	""	""	"2"	"2"	"2"	"6"	"4"	"1"	"3"	""	"3"	""	"1"	"2"	"8"	"4"	"4"	"2"	"2"	"5"	"8"	""	"1"	"2"	"2"	"1"	"1"	"5"	""	""
