"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Primitivo Sampone 75cl"	"9"	""	""	""	"1"	""	""	""	"1"	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"1"	"2"	""	""	""
"Royal Gin Fizz"	"9"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""
"Cappuccino Decaf"	"9"	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	""	"2"	"1"	"1"	""	"1"	""	"1"	""	""	""	""	""	""	""	""	""	""	""
"Cosmopolitan"	"9"	""	""	""	""	""	"1"	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	"1"	""	""	""	""	""	"4"	""	""	""
"Latte Macchiato"	"9"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""
"Grappa Berta Tre Soli Tre 4cl"	"8"	""	""	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"1"	""	"1"	""	""	""	""	""	"3"	""	""	""	""
"Old Fashioned"	"8"	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	"1"	""	""	""	""	"1"	"1"	""	""	""
"Ristretto"	"8"	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""
"Châteauneuf-du-Pape Rouge 75cl"	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""
"Chai Latte"	"7"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""
"Riesling No Sex 75cl"	"7"	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""
"Mixer Cola"	"7"	""	""	""	""	""	"1"	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""
"Fever Tree Pink Grapefruit Soda 20cl"	"7"	""	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""
"Saft"	"7"	""	""	""	""	""	"1"	"1"	""	""	"1"	"1"	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	"1"	""	""	""	""	""
"Ananassaft 30cl"	"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	"1"	"1"	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""
"Chai Latte"	"6"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""
"Länggass Tee"	"6"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""
"Wasser ohne 0,5"	"6"	""	""	""	""	""	""	"1"	"1"	""	""	""	""	"1"	""	""	""	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""
"Bricco Manzoni Langhe 75cl"	"6"	""	""	""	""	""	""	"1"	""	"2"	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""
"Cure d‘Attalens 75cl"	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""
"Martini Ambrato 4cl"	"6"	""	""	""	""	""	"2"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""
"Hendrick's 2cl"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""
"Espolón Blanco 4cl"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	""	""	""
"Schoggi"	"5"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4"	""	""
"Gertrud 75cl"	"5"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	""	"2"	""	""	""
"Jack Daniel's No 7 4cl"	"5"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""
"Cherry Blossom"	"5"	""	""	""	""	"1"	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""
"kalt"	"5"	""	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""
"Milchkaffee Decaf"	"5"	""	""	""	""	""	""	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	"1"	""	""
"Sherazade 75cl"	"5"	""	""	""	""	""	""	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Matcha Latte"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""
"Bailey's 4cl"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	"2"	""	""	""	""	"2"	""	""	""	""	""
"Negre de Negres 75cl"	"4"	""	""	""	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""
"Glenmorangie 18y 4cl"	"4"	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Havana 3 4cl"	"4"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Macho Man 75cl"	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	"1"	""	""	""
"Pinot Grigio Collio 75cl"	"4"	""	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Ketel One 4cl"	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""
"Mixer Bitterlemon"	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""
"Amaretto Disaronno 4cl"	"4"	""	""	"1"	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Hahnenwasser 30cl"	"4"	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""
"Kaffee"	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3"	""	""
"Yvorne Grand Cru 150cl"	"4"	""	""	""	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"Tomatensaft 20cl"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"1"	""	"1"	""	""	""	""	""	""	"1"	""	""
"Cranberrysaft 30cl"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	"1"	""	""	""
"Espolón Reposado 4cl"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	""
"Zweigelt Unplugged 75cl"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3"	""	"1"	""	""
"Ripaso Valpolicella Pegrandi 75cl"	"3"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""
"Don Papa Baroko 4cl"	"3"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Talisker 10y 4cl"	"3"	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Hatozaki 4cl"	"3"	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Jugunda Gigondas 75cl"	"3"	""	""	""	""	""	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""
"Bumbu 4cl"	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Sorrento Sling"	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""
"Fluffy Duck"	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""
"Ramazotti 4cl"	"3"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	""	""	""
"Ovo"	"3"	""	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Cynar 4cl"	"3"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Amaretto Sour Zero"	"3"	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""
"Diverses Beverage (Getränke)"	"3"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""
"Fortant Malbec 75cl"	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Wasser mit 0,5"	"3"	""	""	""	""	""	""	""	""	"1"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""
"Belvedere 4cl"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""
"Johnnie Walker Black Label 4cl"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"1"	""	""	""	""
"Ginger in the Breeze"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""
"Armando 75cl"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""
"Malanser Blauburgunder Classic 75cl"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""
"Adoro Prosecco 75cl"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"1"	""	""	""	""	""	""	""	""	""	""
"Cornalin Neyrun 75cl"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	"1"	""	""	""	""	""	""	"1"	""	""	""
"Riesling Röttgen Kabinett Grosse Lage 75cl"	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Ketel One 2cl"	"2"	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Cognac Rémy Martin VSOP 4cl"	"2"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Matanegra Crianza 75cl"	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Petite Arvine Vieilles Vignes 75cl"	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""
"Quinta da Carolina 75cl"	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Inedito Toscana Rosso 75cl"	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""
"Four Roses 4cl"	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Yellow Bird"	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Pisco Sour"	"2"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Whiskey Sour"	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Die Früchte"	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Sambucca"	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Taylor's Tawny 10 years 4cl"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Gin Sour"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""
"Tintafina 75cl"	"2"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""
"Tanqueray 4cl"	"2"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""
"Tassinaia 75cl"	"2"	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"El Gordo del Circo 75cl"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""
"Limoncello 2cl"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""
"Saffredi 75cl"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Cappuccino Fredo"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""
"Just Sauvignon Blanc 75cl"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""
"Merlot Ômina Romana 75cl"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	"1"	""	""	""	""	""	""	""	""	""	""
"Syrah Wallis 75cl"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""
"Milchkaffee"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""
"El Gordo del Circo 150cl"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""
"Skinny beach"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""
"Monkey 47 4cl"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	"1"	""	""	""	""
"Somni Priorat 75cl"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Nikka From the Barrel 4cl"	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Petit Chablis 75cl"	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Molto Negre Cava Brut nature Rosé 75cl"	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Alexander vs. The Ham Factory Reserva 75cl"	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Gómez Cruzado Crianza Rioja 75cl"	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Sauvignon Blanc Saxum 75cl"	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Zacapa XO 4cl"	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Bumbu 2cl"	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Monteverro 150cl"	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Mapliers Abacus 75cl"	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Sul Vulcano Rosato 75cl"	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Averna 4cl"	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Martini Rubino 4cl"	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Dominio do Acor Tinto 75cl"	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Roero Arneis Costa delle Rose 75cl"	"1"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Glenmorangie Signet 21y 4cl"	"1"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Mille e Una Notte 150cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Matte Dry Gin 4cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Mixer Cola Zero"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Glenfiddich 15y 4cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Amarone della Valpolicella Tano 75cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Apple Martini"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Cappuccino Fredo"	"1"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Latte Macchiato Decaf"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"Jägermeister 4cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""
"Tequila Shot"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""
"Mai Tai"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""
"Vodka Lemon"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""
"Malibu Monsoon"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""
"Gertrud 150cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""
"Saffredi 150cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""
"Wray & Nephew 4cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""
"Nuits St. Georges «Les Chaliots» 75cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""
"Amour de Dieu Condrieu 75cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""
"Barolo 150cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""
"Haru Rosado Tierra de Murcia 75cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""
"Château Cantenac 75cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""
"Franciacorta Brut Satèn 75cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""
"Albino Bianco 75cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""
"Château Charmail 75cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""
"Wasser ohne 0,5 JE"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""
"Espresso Macchiato Decaf"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""
"Babychino"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""
"New Yorker"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""
"Lagrein Rivus 75cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""
"The Botanist Islay 22 4cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""
"Inedito Toscana Rosso 150cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""
"Riesling Silvaner 75cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""
"Gómez Cruzado Viña Dorana Reserva 75cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""
"Veran 75cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""
"Just Pinot Noir 75cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""
"Chardonnay Unplugged 75cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""
"Mythos 75cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""
"Princes First Edition 150cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""
"Doppelter Espresso"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""
"Espresso"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""
"Stangensellerie- Ananas Saft"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""
"Karotten-Orangen Saft"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""
"Aciano el Pego 75cl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""
"Wild Irish Rose"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""
