"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Das Entrecôte 120gr"	"27"	"1"	""	"1"	""	""	"3"	"2"	"3"	""	""	"2"	"1"	"1"	""	"2"	""	""	""	""	"5"	""	"1"	""	""	"1"	""	"2"	"2"	""	""	""
"Die Tortellini Brodo Suppe"	"26"	"1"	"2"	""	"2"	"3"	""	"3"	"2"	"1"	""	"1"	""	""	""	"2"	"1"	""	""	"1"	""	""	"2"	"1"	""	""	""	""	"3"	"1"	""	""
"Glace 2 Kugeln"	"24"	""	""	""	""	"2"	"1"	"4"	"2"	"4"	""	""	""	""	"1"	"1"	""	"1"	""	"1"	"1"	""	"1"	""	""	""	"1"	"3"	"1"	""	""	""
"Kinder Pommes"	"23"	"1"	"1"	""	""	""	""	"1"	"5"	"2"	""	""	""	""	""	""	""	"1"	""	""	""	"6"	""	"1"	"1"	""	"1"	"1"	"2"	""	""	""
"Extra Beilagen"	"22"	"1"	""	""	""	"1"	""	"1"	"1"	"1"	""	"2"	"1"	"1"	"1"	""	""	"1"	""	""	"2"	"1"	"1"	""	""	"1"	""	"1"	"3"	"2"	""	""
"mittel"	"22"	""	"1"	""	""	"1"	"4"	""	""	""	""	""	""	"3"	"2"	"2"	""	""	""	"1"	"1"	"2"	""	"2"	""	""	"1"	"1"	""	"1"	""	""
"Das Eggs Benedict"	"19"	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"9"	""	""
"Das Tartufo Coco Nocciola"	"19"	"1"	""	""	""	"1"	""	"4"	"1"	""	""	""	"2"	""	"1"	"1"	"1"	""	""	"1"	""	"1"	"2"	""	""	""	"1"	"1"	""	"1"	""	""
"Pizza und Küche"	"19"	""	""	""	"1"	"1"	"1"	""	""	""	""	""	""	""	"1"	"1"	""	""	""	"2"	"1"	""	"2"	""	"1"	"1"	"3"	"2"	"2"	""	""	""
"Kinder Chicken Nuggets"	"19"	""	""	"1"	""	""	""	"1"	"1"	""	"1"	""	""	"2"	""	""	""	""	"1"	""	"1"	"2"	""	"1"	""	"1"	""	"2"	"2"	"3"	""	""
"Roll's Teller"	"18"	""	""	""	""	""	"1"	"3"	""	"1"	""	""	""	""	"3"	""	""	""	"1"	""	"1"	"2"	""	""	""	""	"2"	"2"	"2"	""	""	""
"Das Choco Nocciola"	"16"	"1"	""	""	""	""	"1"	""	"2"	"1"	"1"	""	""	"3"	""	"1"	""	""	""	""	""	"1"	"1"	""	""	"2"	""	""	"1"	"1"	""	""
"Pizza und Küche"	"16"	""	""	"1"	""	""	""	"1"	""	"1"	""	"1"	""	""	"1"	""	"1"	""	""	""	"3"	"2"	""	""	"1"	"1"	""	"2"	"1"	""	""	""
"Pizza Funghi"	"16"	""	"1"	""	"1"	"2"	""	"1"	"1"	"1"	""	"2"	""	"1"	""	"1"	"1"	""	""	""	"3"	"1"	""	""	""	""	""	""	""	""	""	""
"Sashimi Salmon"	"16"	""	""	"1"	""	""	"1"	"1"	""	""	""	""	"1"	"1"	"1"	""	""	""	""	""	""	"1"	"2"	"1"	""	"2"	""	"1"	"3"	""	""	""
"Kinder Pizza Prosciutto"	"16"	""	""	""	""	"1"	""	"2"	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	"5"	"1"	"1"	""	""	""	""	"1"	"1"	""	""
"Pizza Napoli TA"	"15"	"1"	""	"2"	""	"2"	"1"	""	"1"	"1"	""	""	""	""	""	"1"	"1"	"2"	"1"	""	""	"1"	""	"1"	""	""	""	""	""	""	""	""
"Amarena Glace"	"15"	"3"	""	""	"1"	"2"	"1"	""	"1"	"2"	""	""	""	""	""	""	"1"	"1"	""	"1"	""	""	""	""	""	"1"	"1"	""	""	""	""	""
"Sashimi Tuna"	"15"	""	""	"1"	""	"1"	"1"	""	""	""	""	""	""	"2"	"1"	""	""	""	""	""	""	""	"1"	""	""	"2"	""	"2"	"4"	""	""	""
"Paradise rolls"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"15"	""	""	""	""	""
"Smoked Salmon"	"14"	"4"	""	""	""	""	"1"	"1"	""	""	""	""	""	""	""	""	"1"	"1"	""	"1"	"3"	""	""	""	""	""	"1"	""	"1"	""	""	""
"Der Mamma's Kuchen"	"14"	"2"	""	""	""	""	"1"	""	"3"	"1"	"1"	""	"1"	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""
"Blattsalat TA"	"14"	""	"1"	""	""	""	"1"	""	""	"1"	""	"2"	""	"2"	""	""	""	""	"2"	""	"1"	""	""	"1"	""	"3"	""	""	""	""	""	""
"nicht scharf"	"14"	""	"1"	""	""	""	""	"1"	"1"	""	""	""	""	""	"2"	""	""	""	""	"2"	"1"	"3"	"1"	""	""	""	""	""	"1"	"1"	""	""
"scharf"	"13"	""	"1"	""	""	""	"1"	""	"1"	"1"	""	"1"	""	""	""	""	""	""	""	""	""	"1"	""	""	"2"	""	""	"2"	"3"	""	""	""
"mit Schinken"	"12"	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""
"Kinder Pasta Bolognaise"	"12"	"1"	""	"1"	""	""	""	"1"	""	""	""	"2"	"1"	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""
"Vegi menu"	"12"	""	""	""	""	""	""	""	""	""	""	""	"11"	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Dessertvariation"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""
"Die Ricotta Kirsch Torte"	"11"	"2"	""	""	"1"	""	""	"1"	"2"	""	""	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""
"Der Grieche TA"	"11"	""	"1"	""	""	""	""	""	""	""	""	"1"	"1"	""	""	""	""	""	""	"1"	""	"1"	""	"2"	""	"1"	""	"2"	""	"1"	""	""
"Rucola"	"11"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"4"	"1"	"1"	"1"	""	""	""	"1"	"1"	""	""	""
"Crispy Futomaki Beef"	"10"	"1"	""	""	""	""	""	"3"	""	""	""	""	"1"	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	"2"	""	""	""
"Abfrage Pizza Extra"	"10"	""	""	""	"2"	""	""	"1"	""	""	"2"	"2"	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""
"Kinder Pasta Tomaten"	"10"	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	"1"	""	"1"	""	"2"	""	""	""	""	""	"1"	"2"	""	""	""
"Mediteranisches Gemüse"	"9"	"1"	""	""	""	""	""	"1"	""	"1"	""	""	""	"1"	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	"2"	""	""
"Saignant"	"9"	""	""	""	""	"2"	"1"	"2"	"1"	""	""	""	""	""	""	""	"2"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""
"Pizza Quattro Formaggi TA"	"9"	""	"1"	""	""	""	"1"	""	""	""	"2"	"1"	"1"	"2"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""
"Pommes"	"9"	""	""	""	""	""	""	""	""	""	""	"2"	"1"	""	""	""	""	"1"	""	""	"2"	""	"1"	""	""	"1"	""	""	"1"	""	""	""
"Die Pancakes"	"8"	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""
"Cognac"	"8"	""	""	""	""	""	"1"	"1"	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	"1"	"1"	""	""
"Vegi Menu"	"8"	""	""	""	""	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Das Eggs Benedict"	"7"	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""
"Burrata"	"6"	""	""	""	"3"	""	"1"	"1"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"Crispy Futomaki Tuna"	"6"	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""
"Hinterschinken"	"5"	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""
"Tataki Tuna"	"4"	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""
"Oliv Menü"	"4"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Risotto"	"3"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""
"Kinder Gemüse"	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""
"Diverses Food (Speisen)"	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""
"Tataki Salmon"	"2"	"1"	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Creme Fraiche"	"2"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""
"extra ei"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Calvados"	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Linguine"	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Apero zum teilen"	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Brot"	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Diverses Fleisch"	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Schwarzer Trüffel"	"1"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Whiskey"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Parmaschinken"	"1"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Thunfisch Steak"	"1"	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Poulet menu"	"1"	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Die Acai Bowl"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Aufpreis Gamberi"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Griechischer Salat gross"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Vorspeise Menu"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Raviolini Ratatouille"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"Apero"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"Cesar salat"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""
"Chicken"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""
"Trüffel"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""
"Nuggets"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""
"Lachs"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""
"Poulet Pizza"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""
