"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"À point"	"158"	"7"	"1"	"2"	"2"	"3"	"3"	"8"	"10"	"2"	"2"	"2"	"1"	"7"	"7"	"9"	"1"	"7"	"9"	"10"	"8"	"11"	"6"	"2"	"6"	"3"	"5"	"5"	"19"	""	""	""
"Pizza Margherita Classico"	"158"	"8"	"4"	"5"	"13"	"7"	"7"	"12"	"7"	"2"	"4"	"3"	"6"	"5"	"6"	"1"	"2"	"2"	"3"	"1"	"11"	"6"	"9"	""	"6"	"3"	"3"	"6"	"13"	"3"	""	""
"Der Burger"	"156"	"13"	""	"3"	"1"	"5"	"4"	"11"	"5"	"2"	"3"	"2"	""	"7"	"8"	"8"	"1"	"6"	"8"	"10"	"8"	"12"	"8"	"2"	"7"	"3"	"3"	"4"	"12"	""	""	""
"Die Zucchetti Pasta Campanelle"	"155"	"2"	"6"	"6"	"5"	"7"	"9"	"11"	"7"	""	"8"	"3"	"4"	"8"	"7"	"2"	"3"	"6"	""	"3"	"11"	"3"	"7"	"3"	"4"	"5"	"3"	"13"	"8"	"1"	""	""
"Sushi/Sashimi Teller"	"152"	"6"	"4"	"6"	"1"	"2"	"10"	"9"	"8"	"5"	"1"	"4"	"2"	"6"	"16"	""	"3"	"2"	"1"	"3"	"12"	"6"	"3"	"1"	"2"	"5"	"4"	"10"	"20"	""	""	""
"Tiramisu Kaviar Arabica"	"148"	"4"	"2"	"3"	"6"	"4"	"5"	"18"	"7"	"4"	"1"	"2"	""	"6"	"8"	"8"	"5"	"3"	"2"	"5"	"4"	"15"	"4"	""	"1"	"7"	"8"	"5"	"11"	""	""	""
"Pizza Vulcano"	"147"	"6"	"4"	"2"	"1"	"9"	"8"	"10"	"7"	"2"	"1"	"3"	"3"	"10"	"16"	"2"	"1"	"4"	"1"	"4"	"9"	"5"	"6"	"2"	"5"	"1"	"7"	"7"	"7"	"4"	""	""
"Pasta Bolognaise TA"	"138"	"2"	"8"	"4"	"5"	"8"	"3"	"8"	"2"	"6"	"6"	"5"	"11"	"9"	"3"	"1"	"4"	"11"	"3"	"5"	"10"	""	"1"	"1"	"5"	"4"	"10"	"2"	""	"1"	""	""
"Das Focaccia"	"135"	"2"	"2"	"3"	"1"	"2"	"5"	"14"	"9"	"2"	"5"	"4"	"4"	"7"	"6"	"3"	"1"	"8"	"8"	"2"	"7"	"6"	"6"	"3"	""	"2"	"8"	"5"	"6"	"4"	""	""
"Das Schokoladensouffle"	"133"	"5"	"3"	""	"2"	"3"	"8"	"14"	"4"	"1"	"5"	"4"	"4"	"11"	"11"	"4"	"2"	"2"	"3"	"2"	"1"	"12"	"3"	"2"	"1"	"4"	"1"	"9"	"9"	"3"	""	""
"Die Bao Buns Poulet"	"132"	"6"	"2"	"4"	"1"	"5"	"8"	"8"	"6"	"6"	"3"	"1"	"1"	"3"	"7"	"5"	"3"	"5"	"11"	"4"	"3"	"5"	"4"	"1"	"1"	"7"	"2"	"6"	"9"	"5"	""	""
